fault_desc,fault_type,id,solution
Visio画流程图时，复制粘贴图形会导致整个软件崩溃，只能重启,软件类,19,1. 减少图形复杂度：简化流程图，减少图形数量和连接线\n2. 更新Visio：确保Visio已更新到最新版本\n3. 禁用自动保存：Visio→文件→选项→保存→取消勾选“保存自动恢复信息时间间隔”
Python安装第三方库时，pip命令提示“SSL证书验证失败”，换国内源也没用,软件类,20,1. 手动更新pip：python -m pip install --upgrade pip\n2. 临时禁用SSL验证：pip install --trusted-host pypi.python.org 包名\n3. 使用国内镜像源：pip config set global.index-url https://pypi.tuna.tsinghua.edu.cn/simple
惠普打印机连接公司内网后，电脑能发现设备但打印时提示“无法通信”,硬件类,21,1. 检查打印机网络连接：确保打印机与电脑在同一局域网\n2. 重启打印机和路由器：关闭打印机和路由器，等待30秒后重新开启\n3. 重新添加打印机：控制面板→设备和打印机→添加打印机，选择网络打印机
佳能扫描仪通过USB连接电脑，设备管理器显示“未知设备”，换线换接口都不行,硬件类,22,1. 更换USB线：尝试使用其他USB线连接扫描仪\n2. 更新扫描仪驱动：到佳能官网下载对应型号的最新驱动程序\n3. 检查USB端口：尝试将扫描仪连接到其他USB端口
笔记本电脑的内置摄像头打开后是黑屏，设备管理器显示“该设备已禁用”，但无法启用,硬件类,23,1. 检查设备管理器：右键此电脑→管理→设备管理器→图像设备，右键摄像头→启用\n2. 更新摄像头驱动：通过设备管理器更新摄像头驱动\n3. 检查隐私设置：进入系统隐私设置→相机，确保应用已获得相机权限
外接显示器通过HDMI连接笔记本，电脑识别到显示器但显示“无信号”,硬件类,24,1. 检查HDMI线连接：确保HDMI线两端连接牢固\n2. 切换显示器输入源：在显示器上手动切换输入源为HDMI\n3. 更新显卡驱动：通过设备管理器或显卡厂商官网更新驱动
机械键盘部分按键（如A、S键）失灵，换电脑测试还是一样，排除接口问题,硬件类,25,1. 清洁键盘：使用压缩空气罐或小刷子清理按键缝隙中的灰尘\n2. 检查键盘驱动：通过设备管理器更新键盘驱动\n3. 测试其他键盘：连接其他键盘测试是否正常，判断是否为电脑问题
鼠标连接蓝牙后能用10分钟，之后自动断开，重新配对也只能维持几分钟,硬件类,26,1. 更换电池：为蓝牙鼠标更换新电池\n2. 重新配对：在电脑蓝牙设置中删除鼠标设备，重新搜索并配对\n3. 检查干扰源：远离微波炉、无线充电器等可能干扰蓝牙信号的设备
打印机提示“卡纸”，但打开后没找到纸张，重启后依然报错,硬件类,27,1. 检查打印机内部：打开打印机盖板，检查是否有残留纸张碎片\n2. 重启打印机：关闭打印机电源，等待30秒后重新开启\n3. 更新打印机驱动：到惠普官网下载对应型号的最新驱动程序
扫描仪扫描文件时提示“纸张尺寸不匹配”，但实际放置的是A4纸,硬件类,28,1. 检查扫描仪设置：在扫描软件中确认纸张尺寸设置为A4\n2. 清洁扫描仪玻璃：使用干净的软布擦拭扫描仪玻璃表面\n3. 更新扫描仪驱动：到佳能官网下载对应型号的最新驱动程序
笔记本电脑电池充到60%就停止充电，电源管理里没找到限制设置,硬件类,29,1. 重置电池管理系统：关闭电脑，断开电源适配器，按住电源键15秒，然后连接电源适配器开机\n2. 更新电源管理驱动：通过设备管理器更新电源管理驱动\n3. 检查电池健康：使用第三方工具（如BatteryInfoView）检查电池健康状态
U盘插入电脑后没反应，指示灯不亮，换其他电脑也识别不到,硬件类,30,1. 尝试其他电脑：将U盘插入其他电脑测试是否能识别\n2. 检查U盘格式：使用DiskGenius等工具检查U盘是否损坏\n3. 格式化U盘：如果数据已备份，可尝试格式化U盘恢复
公司内网突然断开，右下角网络图标显示“未识别的网络”，同办公室其他人正常,网络类,31,1. 重启网络设备：关闭路由器和调制解调器，等待30秒后重新开启\n2. 释放和更新IP地址：按Win+R输入cmd，在命令提示符中输入ipconfig /release和ipconfig /renew\n3. 检查网络适配器：右键此电脑→管理→设备管理器→网络适配器，右键网卡→更新驱动程序
VPN登录时提示“认证失败”，账号密码正确，同事能正常登录,网络类,32,1. 检查VPN服务器状态：联系VPN管理员确认服务器是否正常运行\n2. 检查VPN配置：确认VPN连接配置（服务器地址、端口、认证方式等）是否正确\n3. 尝试其他VPN客户端：使用其他VPN客户端软件测试连接
连接公司WiFi后有信号但上不了网，IP地址显示“169.254.x.x”（自动私有地址）,网络类,33,1. 重置网络设置：按Win+R输入cmd，在命令提示符中输入netsh winsock reset和netsh int ip reset\n2. 检查DHCP服务：确认路由器的DHCP服务是否正常工作\n3. 手动设置IP地址：在网络适配器属性中手动设置IP地址、子网掩码和默认网关
访问公司内部共享文件夹时提示“没有权限”，但管理员已分配权限,网络类,34,1. 检查共享文件夹权限：右键共享文件夹→属性→共享→高级共享，确保已授予当前用户访问权限\n2. 检查网络连接：确保电脑已连接到正确的内网\n3. 尝试其他用户账户：使用其他具有访问权限的账户登录测试
Outlook发送邮件时卡在“正在发送”，接收正常，测试外网邮箱能发,网络类,35,1. 检查邮件服务器设置：确认Outlook中的邮件服务器地址和端口设置是否正确\n2. 检查网络连接：尝试访问其他外网网站测试网络是否正常\n3. 禁用防火墙：临时禁用防火墙测试是否为防火墙阻止邮件发送
远程桌面连接服务器时提示“无法连接到远程计算机”，端口和IP都正确,网络类,36,1. 检查远程桌面连接设置：确认服务器的远程桌面服务已启用，且端口（默认3389）已开放\n2. 检查网络连接：确保电脑与服务器在同一网络，或VPN连接正常\n3. 尝试其他远程工具：使用其他远程连接工具（如TeamViewer）测试连接
浏览器打开公司内网OA系统时提示“SSL证书错误”，添加例外后依然无法访问,网络类,37,1. 清除浏览器缓存：Chrome→设置→隐私和安全→清除浏览数据→选择“所有时间”→清除数据\n2. 导入证书：将OA系统的SSL证书导入浏览器受信任的根证书颁发机构\n3. 尝试其他浏览器：使用其他浏览器（如Firefox）访问OA系统
WiFi能连接但网速极慢（10kb/s），插网线后速度正常，排除路由器问题,网络类,38,1. 检查WiFi信道：登录路由器管理页面，更改WiFi信道（如从6改为1或11）\n2. 检查设备驱动：更新无线网卡驱动程序\n3. 尝试有线连接：使用网线连接电脑测试网络速度
使用公司VPN时，微信能发消息但网页打不开，断开VPN后恢复正常,网络类,39,1. 检查VPN路由设置：联系VPN管理员确认VPN的路由配置是否正确\n2. 检查本地网络连接：确保本地网络连接正常\n3. 尝试其他VPN服务器：连接其他VPN服务器测试是否能访问网页
内网打印机共享时，提示“无法找到网络路径”，防火墙已关闭,网络类,40,1. 检查打印机共享设置：右键打印机→属性→共享，确保已勾选“共享这台打印机”\n2. 检查防火墙设置：确保防火墙允许文件和打印机共享通过\n3. 重启打印服务：按Win+R输入services.msc，找到Print Spooler服务，右键→重启
Windows 10更新后，网络适配器在设备管理器里消失了，重启也没恢复,系统类,41,1. 重新安装网络适配器驱动：右键此电脑→管理→设备管理器→网络适配器，右键网卡→卸载设备，然后扫描检测硬件改动\n2. 检查BIOS设置：进入BIOS确认网络适配器已启用\n3. 系统还原：尝试将系统还原到之前正常的时间点
Mac系统提示“启动磁盘空间不足”，但删除文件后空间没变化,系统类,42,1. 清理启动磁盘：删除不必要的文件，使用磁盘清理工具清理临时文件、回收站等\n2. 检查隐藏文件：确保没有隐藏的大文件占用空间\n3. 扩展磁盘空间：使用磁盘管理工具扩展启动磁盘分区
电脑开机后提示“CMOS电池电量低”，每次开机都要重新设置时间,系统类,43,1. 更换CMOS电池：打开机箱，找到主板上的圆形CMOS电池，更换为相同型号的新电池\n2. 检查BIOS设置：进入BIOS确认系统时间设置正确\n3. 检查主板：如果更换电池后问题依旧，可能是主板电路故障，需联系维修
Windows 7升级到Windows 10后，声卡驱动丢失，没声音且无法安装驱动,系统类,44,1. 使用驱动精灵等工具：自动检测并安装声卡驱动\n2. 从官方渠道下载驱动：到电脑制造商官网下载对应型号和系统版本的声卡驱动\n3. 系统还原：尝试将系统还原到声卡正常工作的时间点
MacBook外接移动硬盘后，硬盘里的文件变成乱码，无法打开,系统类,45,1. 检查文件系统：使用Mac的“磁盘工具”检查移动硬盘的文件系统是否损坏\n2. 尝试其他电脑：将移动硬盘连接到其他电脑测试是否能正常读取\n3. 数据恢复：如果文件重要，可使用数据恢复软件（如DiskDrill）尝试恢复
电脑提示“虚拟内存不足”，设置里已将虚拟内存调至最大，依然报错,系统类,46,1. 关闭不必要的程序：结束任务管理器中占用内存过高的程序\n2. 增加物理内存：如果经常出现此问题，考虑增加内存条\n3. 调整虚拟内存：右键“此电脑”→属性→高级系统设置→性能→高级→虚拟内存→更改，将虚拟内存设置为系统管理的大小
开机后弹出“系统无法找到指定的驱动程序”，但没说明是哪个驱动,系统类,47,1. 重新安装驱动程序：通过设备管理器卸载有问题的驱动程序，然后扫描检测硬件改动\n2. 系统文件检查：按Win+R输入cmd，在命令提示符中输入sfc /scannow检查并修复系统文件\n3. 系统还原：尝试将系统还原到之前正常的时间点
Windows Defender突然自动关闭，手动开启时提示“该服务无法启动”,系统类,48,1. 检查服务状态：按Win+R输入services.msc，找到Windows Defender服务，右键→属性→启动类型→自动，然后点击启动\n2. 系统文件检查：按Win+R输入cmd，在命令提示符中输入sfc /scannow检查并修复系统文件\n3. 重置服务：按Win+R输入cmd，在命令提示符中输入net stop wscsvc和net start wscsvc重置服务
笔记本电脑休眠后唤醒，屏幕花屏，只能强制关机重启,系统类,49,1. 更新显卡驱动：通过设备管理器或显卡厂商官网更新驱动\n2. 检查硬件温度：使用硬件监控工具（如HWMonitor）检查显卡温度是否过高\n3. 重置显示器设置：右键桌面→显示设置→高级显示设置→重置显示适配器
Mac系统“访达”频繁闪退，重启后几分钟又会崩溃,系统类,50,1. 清除缓存：关闭所有应用程序，按Command+Option+Esc，选择“访达”→重新启动\n2. 更新系统：确保系统已更新到最新版本\n3. 检查扩展：进入系统设置→扩展，禁用所有扩展并逐个启用排查
Word文档保存时提示“该文件正在被另一个程序使用”，但没有其他窗口打开,软件类,51,1. 关闭所有相关程序：确保没有其他程序正在使用该文档\n2. 检查文件位置：将文档移动到其他位置（如桌面）再尝试保存\n3. 以只读方式打开：右键文档→属性→取消勾选“只读”
PPT播放时插入的视频无法播放，提示“找不到此文件”，但视频就在同一文件夹,软件类,52,1. 检查视频文件路径：确保视频文件与PPT在同一文件夹，且文件名未更改\n2. 重新插入视频：删除PPT中的视频，重新插入视频文件\n3. 转换视频格式：将视频转换为WMV等PPT更兼容的格式
PDF文件用Adobe打开时提示“文件已损坏”，但用浏览器能正常打开,软件类,53,1. 尝试其他PDF阅读器：使用其他PDF阅读器（如福昕阅读器）打开文件\n2. 修复PDF文件：使用Adobe Acrobat的“修复PDF”功能尝试修复文件\n3. 重新下载PDF：如果是从网络下载的，尝试重新下载
企业微信接收的压缩包解压时提示“文件损坏或密码错误”，但同事能正常解压,软件类,54,1. 检查文件完整性：联系发送者确认压缩包是否完整发送\n2. 尝试其他解压工具：使用其他解压工具（如7-Zip）解压文件\n3. 检查文件权限：确保有足够的权限解压文件
Chrome浏览器无法下载文件，点击下载后没反应，清除缓存也没用,软件类,55,1. 清除浏览器缓存：Chrome→设置→隐私和安全→清除浏览数据→选择“所有时间”→清除数据\n2. 检查下载设置：Chrome→设置→下载内容，确保“保存文件”选项已选中\n3. 禁用扩展程序：Chrome→菜单→更多工具→扩展程序，禁用所有扩展并逐个启用排查
Excel表格里的VLOOKUP函数返回“#N/A”，但查找值明明存在，格式也一致,软件类,56,"1. 检查数据格式：确保查找值与被查找区域的数据格式一致（如都是文本或都是数字）\n2. 使用EXACT函数验证：在其他单元格使用=EXACT(查找值, 被查找区域某值)验证是否完全一致\n3. 重新输入查找值：尝试重新输入查找值，避免隐藏空格或特殊字符"
钉钉打卡时定位错误，显示在其他城市，手机定位正常，重新安装钉钉无效,软件类,57,1. 检查钉钉定位权限：进入手机设置→应用管理→钉钉→权限，确保位置权限已开启\n2. 重启手机和钉钉：关闭手机和钉钉，重新开启后再次尝试打卡\n3. 检查网络连接：确保手机网络连接正常
Photoshop的画笔工具使用时卡顿，画布放大后更明显，电脑配置足够,软件类,58,1. 关闭不必要的程序：减少系统资源占用\n2. 更新Photoshop：确保Photoshop已更新到最新版本\n3. 调整暂存盘：Photoshop→首选项→性能→暂存盘，选择空间充足的磁盘
Visio保存文件时提示“磁盘空间不足”，但实际磁盘还有50GB空间,软件类,59,1. 清理磁盘空间：删除不必要的文件，使用磁盘清理工具清理临时文件、回收站等\n2. 更改保存位置：将文件保存到其他磁盘分区\n3. 修复Visio：通过控制面板→程序和功能→选择Visio→更改→修复
Python运行爬虫脚本时，提示“urllib3.connectionpool: Max retries exceeded”,软件类,60,"1. 检查网络连接：确保网络连接正常，尝试访问其他网站测试\n2. 增加超时设置：在代码中增加超时参数（如requests.get(url, timeout=30)）\n3. 使用代理服务器：尝试使用代理服务器绕过网络限制"
兄弟打印机无线打印时，进度条卡在0%，有线连接打印正常,硬件类,61,1. 检查打印机网络设置：确保打印机已正确连接到WiFi\n2. 重启打印机和路由器：关闭打印机和路由器，等待30秒后重新开启\n3. 重新配置无线打印：通过打印机控制面板或手机APP重新配置无线打印
爱普生扫描仪扫描彩色文件时，输出的是黑白图像，设置里已选彩色模式,硬件类,62,1. 检查扫描软件设置：在扫描软件中确认已选择彩色扫描模式\n2. 更新扫描仪驱动：到爱普生官网下载对应型号的最新驱动程序\n3. 检查扫描仪灯管：如果灯管老化，可能导致彩色扫描异常，需联系维修
笔记本摄像头在Teams会议中正常，但在Zoom里打开是绿屏,硬件类,63,1. 更新摄像头驱动：通过设备管理器更新摄像头驱动\n2. 检查Zoom设置：在Zoom中确认已选择正确的摄像头设备\n3. 检查软件兼容性：确认Zoom版本与系统兼容，尝试更新到最新版本
双显示器扩展模式下，拖动窗口到第二屏时窗口会消失，只能在任务栏找回,硬件类,64,1. 调整显示器设置：在系统显示设置中调整多显示器布局\n2. 更新显卡驱动：通过设备管理器或显卡厂商官网更新驱动\n3. 尝试其他连接方式：如果使用HDMI连接，尝试更换为DP或VGA连接
无线键盘输入时延迟严重，按键后1-2秒才显示字符，换电池无效,硬件类,65,1. 更换电池：为无线键盘更换新电池\n2. 检查接收器：确保无线接收器已正确插入电脑USB接口\n3. 更新键盘驱动：通过设备管理器更新键盘驱动
蓝牙鼠标移动时指针跳帧，尤其是在桌面边缘时，靠近接收器也没用,硬件类,66,1. 更换电池：为蓝牙鼠标更换新电池\n2. 重新配对：在电脑蓝牙设置中删除鼠标设备，重新搜索并配对\n3. 检查干扰源：远离微波炉、无线充电器等可能干扰蓝牙信号的设备
打印机打印出来的文件有横向条纹，更换墨盒后依然存在,硬件类,67,1. 清洁打印头：在打印机控制面板中选择“清洁打印头”选项\n2. 更换墨盒：确保使用的是正品墨盒，并正确安装\n3. 校准打印机：在打印机控制面板中选择“校准打印机”选项
扫描仪扫描速度突然变慢，一张A4纸要扫1分钟，之前只要10秒,硬件类,68,1. 清洁扫描仪玻璃：使用干净的软布擦拭扫描仪玻璃表面\n2. 更新扫描仪驱动：到爱普生官网下载对应型号的最新驱动程序\n3. 检查扫描分辨率设置：在扫描软件中降低扫描分辨率，提高扫描速度
笔记本电脑充电时充电器发烫严重，触摸外壳能感觉到热量，之前没这么烫,硬件类,69,1. 检查充电器规格：确保使用的是原装充电器，且输出电压和电流符合电脑要求\n2. 清洁充电接口：使用压缩空气罐或小刷子清理电脑和充电器的充电接口\n3. 检查电池温度：使用硬件监控工具（如HWMonitor）检查电池温度是否过高
移动硬盘在Mac上能正常读写，但在Windows电脑上显示“需要格式化”,硬件类,70,1. 检查文件系统：在Mac上使用“磁盘工具”检查移动硬盘的文件系统是否损坏\n2. 尝试其他电脑：将移动硬盘连接到其他Windows电脑测试是否能正常读取\n3. 数据恢复：如果文件重要，可使用数据恢复软件（如Recuva）尝试恢复
连接公司内网后，能上QQ但打不开网页，DNS设置和同事一致,网络类,71,1. 检查DNS设置：右键网络连接→属性→Internet协议版本4(TCP/IPv4)→属性→使用下面的DNS服务器地址，设置为8.8.8.8和8.8.4.4\n2. 刷新DNS缓存：按Win+R输入cmd，在命令提示符中输入ipconfig /flushdns\n3. 检查防火墙设置：确保防火墙允许浏览器通过
VPN连接成功后，访问公司内网服务器提示“超时”，但ping服务器能通,网络类,72,1. 检查VPN服务器状态：联系VPN管理员确认服务器是否正常运行\n2. 检查VPN配置：确认VPN连接配置（服务器地址、端口、认证方式等）是否正确\n3. 尝试其他VPN协议：在VPN客户端中尝试使用其他协议（如OpenVPN、L2TP等）
公司WiFi显示“已连接，无Internet”，手机连接同一WiFi能正常上网,网络类,73,1. 重置网络设置：按Win+R输入cmd，在命令提示符中输入netsh winsock reset和netsh int ip reset\n2. 检查DHCP服务：确认路由器的DHCP服务是否正常工作\n3. 手动设置IP地址：在网络适配器属性中手动设置IP地址、子网掩码和默认网关
远程桌面连接时能看到登录界面，但输入密码后卡在“正在登录”,网络类,74,1. 增加带宽：联系网络服务提供商升级网络带宽\n2. 关闭其他设备：关闭同一网络中其他占用带宽的设备\n3. 优化路由器位置：将路由器放置在开阔位置，避免信号遮挡
内网共享文件夹能看到但无法访问，提示“权限不够”，管理员已重新授权,网络类,75,1. 检查VPN路由设置：联系VPN管理员确认VPN的路由配置是否正确\n2. 检查本地网络连接：确保本地网络连接正常\n3. 尝试其他VPN服务器：连接其他VPN服务器测试是否能访问局域网
WiFi频繁掉线，平均5分钟一次，重启路由器后能维持半小时,网络类,76,1. 检查WiFi信道：登录路由器管理页面，更改WiFi信道（如从6改为1或11）\n2. 重启路由器：关闭路由器电源，等待30秒后重新开启\n3. 检查设备驱动：更新无线网卡驱动程序
VPN客户端安装时提示“与系统不兼容”，电脑是Windows 11，客户端支持该系统,网络类,77,1. 检查VPN客户端版本：确保使用的是最新版本的VPN客户端\n2. 检查系统兼容性：确认VPN客户端支持Windows 11系统\n3. 尝试其他VPN客户端：使用其他VPN客户端软件测试连接
连接投影仪后，电脑屏幕正常但投影仪显示“分辨率不支持”,硬件类,78,1. 调整投影仪分辨率：在投影仪菜单中调整分辨率为电脑支持的分辨率\n2. 更新显卡驱动：通过设备管理器或显卡厂商官网更新驱动\n3. 使用缩放功能：在电脑显示设置中调整缩放比例，使内容适应投影仪
打印机队列里的任务删除后，重新打印会提示“该任务已被删除”，需重启打印机,硬件类,79,1. 重启打印机：关闭打印机电源，等待30秒后重新开启\n2. 清除打印队列：按Win+R输入services.msc，找到Print Spooler服务，右键→停止，然后删除C:\\Windows\\System32\\spool\\PRINTERS目录下的所有文件，最后重启Print Spooler服务\n3. 更新打印机驱动：到打印机厂商官网下载对应型号的最新驱动程序
Windows 10系统突然提示“你的设备遇到问题，需要重启”，重启后正常,系统类,80,1. 运行系统文件检查：按Win+R输入cmd，在命令提示符中输入sfc /scannow检查并修复系统文件\n2. 更新系统：确保系统已更新到最新版本\n3. 检查硬件温度：使用硬件监控工具（如HWMonitor）检查CPU、显卡等硬件温度是否过高
MacBook Pro合上盖子后不会休眠，依然在运行，电池消耗很快,系统类,81,1. 重置SMC（系统管理控制器）：MacBook Pro需断开电源，按住Shift+Control+Option+电源键10秒\n2. 更新系统：确保系统已更新到最新版本\n3. 检查电池健康：使用第三方工具（如Battery Health）检查电池健康状态
电脑开机后提示“硬盘即将损坏，请备份数据”，用检测工具扫描有坏道,系统类,82,1. 备份重要数据：立即备份硬盘中的重要数据\n2. 检查硬盘状态：使用硬盘检测工具（如CrystalDiskInfo）检查硬盘健康状态\n3. 更换硬盘：如果硬盘确实有坏道，建议更换新硬盘并重新安装系统
Windows更新失败，提示“0x80070005 - 拒绝访问”，尝试多种修复工具无效,系统类,83,1. 以管理员身份运行命令提示符：右键开始菜单→命令提示符（管理员），然后输入net localgroup administrators 用户名 /add将当前用户添加到管理员组\n2. 关闭UAC：按Win+R输入control userpasswords2，取消勾选“用户必须输入用户名和密码才能使用此计算机”\n3. 系统还原：尝试将系统还原到之前正常的时间点
Mac系统“活动监视器”显示某个进程占用100%CPU，但无法强制退出,系统类,84,1. 强制退出进程：按Command+Option+Esc，选择占用100%CPU的进程→强制退出\n2. 检查启动项：进入系统设置→用户与群组→登录项，禁用不必要的启动项\n3. 更新系统：确保系统已更新到最新版本
电脑提示“内存不足”，但任务管理器显示只占用了50%内存,系统类,85,1. 关闭不必要的程序：结束任务管理器中占用内存过高的程序\n2. 增加物理内存：如果经常出现此问题，考虑增加内存条\n3. 调整虚拟内存：右键“此电脑”→属性→高级系统设置→性能→高级→虚拟内存→更改，将虚拟内存设置为系统管理的大小
开机后弹出“无法加载用户配置文件”，登录后桌面图标全部消失,系统类,86,1. 创建新用户账户：进入系统设置→账户→家庭和其他用户→添加账户，创建新的管理员账户\n2. 修复用户配置文件：登录新账户，删除原账户的配置文件（位于C:\\Users\\用户名）\n3. 系统还原：尝试将系统还原到之前正常的时间点
Windows Defender扫描时卡住，进度条不动，重启后扫描依然卡住,系统类,87,1. 检查服务状态：按Win+R输入services.msc，找到Windows Defender服务，右键→属性→启动类型→自动，然后点击启动\n2. 系统文件检查：按Win+R输入cmd，在命令提示符中输入sfc /scannow检查并修复系统文件\n3. 重置服务：按Win+R输入cmd，在命令提示符中输入net stop wscsvc和net start wscsvc重置服务
笔记本电脑在使用电池时突然自动关机，电量显示还有30%,系统类,88,1. 检查电源适配器：确保电源适配器连接牢固，且输出电压和电流符合电脑要求\n2. 检查电池状态：如果使用电池，检查电池是否需要充电或更换\n3. 硬件检测：使用电脑自带的硬件检测工具（如HP PC Hardware Diagnostics）检查硬件问题
Mac系统外接U盘后，无法安全弹出，提示“该设备正在被使用”，但已关闭所有文件,系统类,89,1. 重新安装应用：卸载应用后，从官方渠道重新安装最新版本\n2. 更新系统：确保系统已更新到最新版本\n3. 检查磁盘空间：确保启动磁盘有足够的空间（建议至少10GB以上）
Office 365提示“未授权产品”，重新激活后能用1天，之后再次提示未授权,软件类,90,1. 关闭所有相关程序：确保没有其他程序正在使用该文档\n2. 检查文件位置：将文档移动到其他位置（如桌面）再尝试保存\n3. 以只读方式打开：右键文档→属性→取消勾选“只读”
Adobe Acrobat打开PDF时提示“无法打开此文档，因为它不是支持的文件类型”,软件类,91,1. 检查数据源连接：右键图表→数据源，确认数据源路径是否正确\n2. 更新链接：右键图表→更新数据链接\n3. 重新创建图表：如果链接无法修复，删除图表，重新从数据源创建图表
